cell_id,species,n_obs,is_present
1618,Myotis yumanensis,0,0
1619,Aeorestes cinereus,5,1
1619,Myotis californicus,0,0
1619,Myotis yumanensis,0,0
162,Aeorestes cinereus,0,0
162,Myotis californicus,0,0
162,Myotis yumanensis,0,0
1620,Aeorestes cinereus,0,0
1620,Myotis californicus,0,0
1620,Myotis yumanensis,0,0
1621,Aeorestes cinereus,1,1
1621,Myotis californicus,0,0
1621,Myotis yumanensis,1,1
1622,Aeorestes cinereus,1,1
1622,Myotis californicus,1,1
1622,Myotis yumanensis,0,0
1623,Aeorestes cinereus,0,0
1623,Myotis californicus,0,0
1623,Myotis yumanensis,0,0
1624,Aeorestes cinereus,0,0
1624,Myotis californicus,0,0
1624,Myotis yumanensis,0,0
1625,Aeorestes cinereus,0,0
1625,Myotis californicus,0,0
1625,Myotis yumanensis,0,0
1626,Aeorestes cinereus,1,1
1626,Myotis californicus,0,0
1626,Myotis yumanensis,0,0
1627,Aeorestes cinereus,0,0
1627,Myotis californicus,0,0
1627,Myotis yumanensis,0,0
1628,Aeorestes cinereus,0,0
1628,Myotis californicus,0,0
1628,Myotis yumanensis,0,0
1629,Aeorestes cinereus,1,1
1629,Myotis californicus,0,0
1629,Myotis yumanensis,0,0
163,Aeorestes cinereus,0,0
163,Myotis californicus,0,0
163,Myotis yumanensis,0,0
1630,Aeorestes cinereus,0,0
1630,Myotis californicus,0,0
1630,Myotis yumanensis,0,0
1631,Aeorestes cinereus,0,0
1631,Myotis californicus,0,0
1631,Myotis yumanensis,0,0
1632,Aeorestes cinereus,0,0
1632,Myotis californicus,0,0
1632,Myotis yumanensis,0,0
1633,Aeorestes cinereus,0,0
1633,Myotis californicus,0,0
1633,Myotis yumanensis,0,0
1634,Aeorestes cinereus,0,0
1634,Myotis californicus,0,0
1634,Myotis yumanensis,0,0
1635,Aeorestes cinereus,0,0
1635,Myotis californicus,0,0
1635,Myotis yumanensis,0,0
1636,Aeorestes cinereus,0,0
1636,Myotis californicus,0,0
1636,Myotis yumanensis,0,0
1637,Aeorestes cinereus,0,0
1637,Myotis californicus,0,0
1637,Myotis yumanensis,0,0
