gbif_id,dataset_key,occurrence_id,kingdom,phylum,class,order,family,genus,species,infraspecific_epithet,taxon_rank,scientific_name,verbatim_scientific_name,verbatim_scientific_name_authorship,country_code,locality,state_province,occurrence_status,individual_count,publishing_org_key,decimal_latitude,decimal_longitude,coordinate_uncertainty_in_meters,coordinate_precision,elevation,elevation_accuracy,depth,depth_accuracy,event_date,day,month,year,taxon_key,species_key,basis_of_record,institution_code,collection_code,catalog_number,record_number,identified_by,date_identified,license,rights_holder,recorded_by,type_status,establishment_means,last_interpreted,media_type,issue
5867836626,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/278244957,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,US,,Nevada,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.10135,-115.020372,NA,NA,NA,NA,NA,NA,2025-04-30T10:41,30,4,2025,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,278244957,,Jack McDonough,2025-10-17T02:26:10Z,CC_BY_4_0,Liren Varghese,Liren Varghese,,,2025-12-10T23:20:55Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5840340227,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/319182358,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,US,,Illinois,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.896653,-87.628838,26,NA,NA,NA,NA,NA,2025-10-06T12:00:14,6,10,2025,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,319182358,,Ricky Gieser,2025-10-06T20:58:12Z,CC_BY_4_0,Roman,Roman,,,2025-12-10T19:30:34Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5840061217,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/294041046,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,CA,,Ontario,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,46.3154,-83.827038,27031,NA,NA,NA,NA,NA,2024-05-24T22:18,24,5,2024,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,294041046,,Central Algoma Land Trust,2025-06-30T13:38:28Z,CC_BY_NC_4_0,Central Algoma Land Trust,Central Algoma Land Trust,,,2025-12-10T19:13:53Z,StillImage;Sound,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5840046443,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/318027505,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,MX,,México,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,19.55248,-98.861332,2719,NA,NA,NA,NA,NA,2025-10-01T11:33:05,1,10,2025,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,318027505,,ithiel_bg_reino,2025-10-01T17:34:01Z,CC_BY_NC_4_0,ithiel_bg_reino,ithiel_bg_reino,,,2025-12-10T22:06:41Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5839957495,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/318702888,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,US,,Georgia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,33.391257,-81.956436,4,NA,NA,NA,NA,NA,2025-10-04T15:40:17,4,10,2025,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,318702888,,Jakob Fahr,2025-10-04T22:15:17Z,CC_BY_NC_4_0,Shearwaters,Shearwaters,,,2025-12-10T22:06:55Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5838293850,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/317829928,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,MX,,Coahuila,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,25.357686,-100.878838,29981,NA,NA,NA,NA,NA,2022-04-16T22:17,16,4,2022,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,317829928,,Silvino Eduardo,2025-09-30T19:09:07Z,CC_BY_NC_4_0,Silvino Eduardo,Silvino Eduardo,,,2025-12-10T21:02:57Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5837929199,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/26434194,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,US,,Missouri,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,37.505397,-90.9467,NA,NA,NA,NA,NA,NA,2019-06-04T01:30:19Z,4,6,2019,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,26434194,,Kyle Price,2019-06-05T11:48:45Z,CC_BY_NC_4_0,Kyle Price,Kyle Price,,,2025-12-10T19:30:08Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5837762171,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/316240837,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,,SPECIES,"Lasiurus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus,,US,,California,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,40.351813,-123.985275,4,NA,NA,NA,NA,NA,2025-09-23T21:17:58,23,9,2025,5218544,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,316240837,,avalie,2025-09-24T08:41:52Z,CC_BY_NC_4_0,avalie,avalie,,,2025-12-10T22:06:17Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5837667742,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/316771931,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,cinereus,SUBSPECIES,"Lasiurus cinereus cinereus (Palisot de Beauvois, 1796)",Lasiurus cinereus cinereus,,CA,,Alberta,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,49.66384,-110.303061,2,NA,NA,NA,NA,NA,2025-06-07T10:52,7,6,2025,7193858,11138256,HUMAN_OBSERVATION,iNaturalist,Observations,316771931,,Cory Olson,2025-09-26T16:55:44Z,CC_BY_NC_4_0,Cory Olson,Cory Olson,,,2025-12-10T19:25:14Z,StillImage;Sound,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5831072592,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/315714603,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis californicus,,SPECIES,"Myotis californicus (Audubon & Bachman, 1842)",Myotis californicus,,US,,Oregon,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,45.549766,-122.826728,NA,NA,NA,NA,NA,NA,2025-09-20T20:20,20,9,2025,2432425,2432425,HUMAN_OBSERVATION,iNaturalist,Observations,315714603,,Ilya Burylov,2025-09-22T03:04:32Z,CC_BY_NC_4_0,Ilya Burylov,Ilya Burylov,,,2025-12-10T20:50:56Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
