cell_id,viirs_years,mean_radiance,log1p_radiance,pct_developed,pct_protected,pop_density,log1p_pop_density
6469,13,2.9917994829324575,1.3842421274613244,0.25885158851588513,0.11180978265290151,262.50408935546875,5.574068887236586
6470,13,0.1984793314566979,0.18105352940083583,0.08527585275852759,0.25476020226729823,39.920257568359375,3.711625235500551
6471,13,0.10752556243768105,0.10212830387862509,0.06436748506011952,0.4293008008913085,26.044401168823242,3.297480003049161
6472,13,0.0012518437915087605,0.001251060888383087,0.03922274523215941,0.40116808505966706,3.583946704864502,1.5225603530063927
6473,13,0,0,0.026468550034649412,0.536196087114663,0,0
6474,13,0,0,0.04382143821438214,0.36805038581398325,0,0
6475,13,0.012612761356509648,0.01253388303846082,0.026351314865813488,0.7662096116689434,0.0028775520622730255,0.0028734198345730564
6476,13,0,0,1.3500135001350013e-4,0.9932138916452716,4.415838629938662e-4,4.4148639353274306e-4
6477,13,0.009473969282295842,0.009429372685246708,0.01522732999748011,0.7889771979021948,0.8279402852058411,0.603189805761978
6478,13,2.6639797870929423,1.298549930173562,0.24401983797163135,0.40636310254351726,321.49957275390625,5.776101811440861
6479,13,0.1669982557113354,0.15443485862578296,0.0037100328281692674,0.9543449283938363,2.112654209136963,1.135475805667753
6538,13,0.1491097819346648,0.13898753993746849,0.0433083176985616,0.12653529598553714,13.586580276489258,2.6801019468839224
6539,13,0,0,0.01823418234182342,0.352028801302946,0.6750938296318054,0.5158691813987276
6540,13,0,0,0.021285021285021286,0.05584493546055694,0.4033164083957672,0.33883829842787005
6541,13,0.038610526432211585,0.03788378758971076,0.022806022806022806,0.0016181212035606802,4.516546249389648,1.7077519850115304
6542,13,0.006884640781208873,0.0068610498566664185,0.008145154757940401,0.005013262942904711,2.0376205444335938,1.1110744932894585
6543,13,0.2627597451210022,0.23329959971577663,0.04225504225504226,0,12.519272804260254,2.6041162825011224
6544,13,0.052795143583073065,0.05144866872025314,0.016074305411802825,0.2664577227967326,1.3914790153503418,0.8719120094186973
6545,13,0.6685804541294391,0.5119732374830556,0.1341439268485852,0.0022806899521195445,66.10201263427734,4.2062140380773965
6546,13,0.351751623245386,0.30140125012659186,0.13125376868593233,0.055333359605539346,96.4959945678711,4.579811295804771
6547,13,1.129079873745258,0.7556899022321423,0.17953217953217954,0.006701733532212831,225.4535675048828,5.422539923929278
6548,13,0.03267682950872068,0.03215429463584376,0.012715556655227686,0.8263682785491658,0.6768963932991028,0.5169446999540768
6549,13,0,0,6.444544692917445e-5,1,0.04181321710348129,0.04096267304390963
6550,13,0,0,0.008956399068272038,0.1351727280587072,0.4292960464954376,0.35718204788659497
6551,13,0.009912696264039438,0.009863887774537606,0.010134192549658444,0.005402272068662271,0.8929279446601868,0.638124807403515
6552,13,0.7169979581466088,0.5405773927163837,0.09006965818888708,0,43.59865188598633,3.797703631797573
6553,13,0.0975557379424572,0.09308565095775313,0.03736803736803737,0.11129220527240233,3.315131425857544,1.4621277819759722
6554,13,0.05017385746424015,0.048955729000190545,0.03945639456394564,0.03062629885807218,2.005230665206909,1.1003543255094264
6555,13,0.09995106034553967,0.09526568821962506,0.03554071567427461,0.0691637371999222,2.696542263031006,1.3073978592057132
6556,13,1.0046095206187322,0.6954492889831293,0.08239582395823958,0.06746102242822488,57.39928436279297,4.0673036356973356
6557,13,0.8096523009813749,0.5931347279190586,0.07500607500607501,0.009015055737724126,54.45710754394531,4.015609884913854
6558,13,0.5091342788476211,0.41153616114658154,0.0619020619020619,0.018976800359533127,47.387027740478516,3.87923175590736
6559,13,0.08871652429493573,0.08499950179563207,0.03222932229322293,0.02537627325439016,14.044026374816895,2.7109809937850224
6560,13,0.3579944647275485,0.30600895308073667,0.0987219872198722,0.13748158032655636,54.25389862060547,4.0119389011772695
6561,13,0.7370628622862009,0.5521956767516165,0.2603972603972604,0.003260220111529039,216.18251037597656,5.380738061686756
6562,13,0.13092935314545265,0.12303973112064653,0.08175534595723234,0.3217354556690366,78.11772155761719,4.3709368895997205
6563,13,0.10926662041590764,0.10369909463626259,0.05085005085005085,0.5091818253953033,20.873762130737305,3.0852878423333476
6564,13,5.371753180112976e-4,5.370310909979738e-4,0.0235435997588041,0.6791225266593157,1.8398950099945068,1.0437670831779764
6565,13,0,0,0.040725773789702005,0.7009141913294482,1.22522673336789e-4,1.2251516804708738e-4
6566,13,0,0,0.01913333033343833,0.738480284739358,0,0
6567,13,0.004148140728760224,0.004139560911682768,0.014301915322580645,0.8133680324724136,0,0
6568,13,0,0,0.002294878371446313,0.9169315617242786,0.03906052187085152,0.03831696053693342
6569,13,0.0322403355429952,0.031731523224365885,0.022230422378025184,0.32387297128957104,4.8825836181640625,1.7719960562508745
6570,13,0.0083491001278162,0.008314439182842684,0,0,1.4990825653076172,0.9159236906458108
6630,13,0,0,0.027722354696903338,0.0030031292274410528,2.4337661266326904,1.233657654923836
6631,13,0.007548717925181756,0.007520368930349371,0.01655956945119427,0,0.876557469367981,0.6294389649529041
